2617,0:1:35,269,SP1,490.0,30.36,-0.04,0.71
2617,0:1:36,272,SP1,495.6,30.37,-0.04,0.68
2617,0:1:37,275,SP1,502.2,30.37,-0.01,0.64
2617,0:1:38,278,SP1,508.9,30.38,0.03,0.65
2617,0:1:39,281,SP1,515.0,30.37,-0.01,0.67
2617,0:1:40,284,SP1,521.7,30.37,0.02,0.70
2617,0:1:41,287,SP1,527.9,30.37,0.08,0.69
2617,0:1:42,290,SP1,533.8,30.37,-0.03,0.61
2617,0:1:43,293,SP1,539.9,30.37,-0.03,0.58
2617,0:1:44,296,SP1,545.3,30.38,-0.04,0.58
2617,0:1:45,299,SP1,551.0,30.38,0.03,0.57
2617,0:1:46,301,SP1,556.0,30.38,0.04,0.56
2617,0:1:47,304,SP1,561.8,30.39,-0.03,0.58
2617,0:1:48,307,SP1,567.0,30.39,-0.01,0.58
2617,0:1:49,310,SP1,572.3,30.39,0.01,0.53
2617,0:1:50,313,SP1,577.5,30.40,0.07,0.59
2617,0:1:51,316,SP1,582.9,30.40,0.06,0.52
2617,0:1:52,319,SP1,588.0,30.41,-0.03,0.53
2617,0:1:53,322,SP1,593.4,30.40,-0.03,0.58
2617,0:1:54,325,SP1,599.4,30.41,-0.04,0.55
2617,0:1:56,331,SP1,609.6,30.40,-0.02,0.50
2617,0:1:57,334,SP1,614.3,30.41,-0.01,0.50
2617,0:1:58,337,SP1,618.8,30.41,0.04,0.48
2617,0:1:59,340,SP1,623.9,30.41,-0.01,0.50
2617,0:2:0,343,SP1,627.9,30.42,-0.04,0.45
2617,0:2:1,345,SP1,632.4,30.42,-0.04,0.45
2617,0:2:2,348,SP1,636.1,30.42,0.02,0.43
2617,0:2:3,351,SP1,640.4,30.42,0.01,0.42
2617,0:2:4,354,SP1,644.5,30.44,-0.01,0.45
2617,0:2:5,357,SP1,648.5,30.44,-0.04,0.42
2617,0:2:6,360,SP1,652.8,30.44,0.03,0.45
2617,0:2:7,363,SP1,657.0,30.44,0.03,0.43
2617,0:2:8,366,SP1,661.2,30.44,-0.04,0.43
2617,0:2:9,369,SP1,665.1,30.43,-0.06,0.41
2617,0:2:11,375,SP1,672.4,30.44,0.03,0.35
2617,0:2:12,378,SP1,676.0,30.45,0.03,0.37
2617,0:2:13,381,SP1,679.7,30.47,0.01,0.39
2617,0:2:14,384,SP1,683.1,30.45,-0.01,0.35
2617,0:2:15,386,SP1,686.6,30.46,-0.05,0.38
2617,0:2:16,389,SP1,689.8,30.46,0.03,0.37
2617,0:2:17,392,SP1,693.5,30.46,-0.04,0.36
2617,0:2:18,395,SP1,696.6,30.47,0.01,0.33
2617,0:2:19,398,SP1,700.1,30.47,-0.06,0.40
2617,0:2:20,401,SP1,704.1,30.48,-0.01,0.35
2617,0:2:21,404,SP1,707.3,30.48,0.01,0.40
2617,0:2:22,407,SP1,710.8,30.49,-0.01,0.34
2617,0:2:23,410,SP1,714.1,30.48,-0.02,0.35
2617,0:2:24,413,SP1,717.0,30.47,-0.04,0.30
