begin test
past serial begin
ABOUT TO READ INITIAL VARS FROM FLASH
alt Correction
-13
flight stage
rising
past sensor init
Time, Alt, Temp, Voltage, gpsTime, Lat, Long, gpsAlt, gpsSats, flightStage, lastCommand, altCorrection
299,0,1.15,30.53,0.20,00:00:00,0.00,0.00,0.00,0,rising,test,-13,0.00
418,1,2.30,30.54,0.45,00:00:00,0.00,0.00,0.00,0,rising,test,-13,0.00
537,2,3.44,30.54,0.70,00:00:00,0.00,0.00,0.00,0,rising,test,-13,0.00
656,3,4.55,30.55,0.95,00:00:00,0.00,0.00,0.00,0,rising,test,-13,0.00
775,4,5.66,30.55,1.18,00:00:00,0.00,0.00,0.00,0,rising,test,-13,0.45
894,5,6.77,30.55,1.38,00:00:00,0.00,0.00,0.00,0,rising,test,-13,0.45
1013,6,7.87,30.55,1.59,00:00:00,0.00,0.00,0.00,0,rising,test,-13,0.45
1132,7,8.98,30.55,1.84,00:00:00,0.00,0.00,0.00,0,rising,test,-13,0.45
1555,8,10.09,30.55,2.10,notvalid:notvalid,842215744.00,0.00,942421.81,0,rising,test,-13,0.45
1677,9,11.29,30.55,2.35,notvalid:notvalid,842215744.00,0.00,942421.81,0,rising,test,-13,1.01
1799,10,11.30,30.56,2.40,notvalid:notvalid,842215744.00,0.00,942421.81,0,rising,test,-13,1.01
1921,11,11.31,30.56,2.40,notvalid:notvalid,842215744.00,0.00,942421.81,0,rising,test,-13,1.01
2043,12,11.32,30.56,2.31,notvalid:notvalid,842215744.00,0.00,942421.81,0,rising,test,-13,1.01
2165,13,11.33,30.56,2.32,notvalid:notvalid,842215744.00,0.00,942421.81,0,rising,test,-13,0.79
2287,14,11.34,30.56,2.32,notvalid:notvalid,842215744.00,0.00,942421.81,0,rising,test,-13,0.79
2409,15,11.34,30.56,2.37,notvalid:notvalid,842215744.00,0.00,942421.81,0,rising,test,-13,0.79
2554,16,11.35,30.56,2.41,notvalid:notvalid,0.00,0.00,0.00,0,rising,test,-13,0.79
2674,17,11.35,30.56,2.42,notvalid:notvalid,0.00,0.00,0.00,0,rising,test,-13,0.35
2795,18,11.43,30.56,2.40,notvalid:notvalid,0.00,0.00,0.00,0,rising,test,-13,0.35
2916,19,11.42,30.57,2.35,notvalid:notvalid,0.00,0.00,0.00,0,rising,test,-13,0.35
3037,20,11.39,30.57,2.35,notvalid:notvalid,0.00,0.00,0.00,0,rising,test,-13,0.35
3158,21,11.37,30.57,2.34,notvalid:notvalid,0.00,0.00,0.00,0,rising,test,-13,0.01
3279,22,11.36,30.57,2.37,notvalid:notvalid,0.00,0.00,0.00,0,rising,test,-13,0.01
3400,23,11.35,30.57,2.38,notvalid:notvalid,0.00,0.00,0.00,0,rising,test,-13,0.01
3521,24,11.34,30.57,2.40,notvalid:notvalid,0.00,0.00,0.00,0,rising,test,-13,0.01
3648,25,11.34,30.57,2.39,notvalid:notvalid,0.00,0.00,0.00,0,rising,test,-13,0.01
3768,26,11.42,30.57,2.40,notvalid:notvalid,0.00,0.00,0.00,0,rising,test,-13,-0.00
3889,27,11.47,30.58,2.40,notvalid:notvalid,0.00,0.00,0.00,0,rising,test,-13,-0.00
4010,28,11.43,30.58,2.42,notvalid:notvalid,0.00,0.00,0.00,0,rising,test,-13,-0.00
4131,29,11.40,30.58,2.45,notvalid:notvalid,0.00,0.00,0.00,0,rising,test,-13,-0.00
4252,30,11.40,30.58,2.44,notvalid:notvalid,0.00,0.00,0.00,0,rising,test,-13,-0.00
4373,31,11.40,30.58,2.45,notvalid:notvalid,0.00,0.00,0.00,0,rising,test,-13,-0.00
4494,32,11.39,30.58,2.50,notvalid:notvalid,0.00,0.00,0.00,0,rising,test,-13,-0.00
4654,33,11.39,30.57,2.48,notvalid:notvalid,0.00,0.00,0.00,0,rising,test,-13,-0.00
4774,34,11.40,30.57,2.47,notvalid:notvalid,0.00,0.00,0.00,0,rising,test,-13,0.00
4894,35,11.48,30.58,2.46,notvalid:notvalid,0.00,0.00,0.00,0,rising,test,-13,0.00
5014,36,11.46,30.58,2.45,notvalid:notvalid,0.00,0.00,0.00,0,rising,test,-13,0.00
5134,37,11.44,30.58,2.45,notvalid:notvalid,0.00,0.00,0.00,0,rising,test,-13,0.00
5254,38,11.43,30.58,2.45,notvalid:notvalid,0.00,0.00,0.00,0,rising,test,-13,-0.00
5375,39,11.42,30.58,2.47,notvalid:notvalid,0.00,0.00,0.00,0,rising,test,-13,-0.00
5496,40,11.40,30.58,2.48,notvalid:notvalid,0.00,0.00,0.00,0,rising,test,-13,-0.00
5617,41,11.39,30.58,2.48,notvalid:notvalid,0.00,0.00,0.00,0,rising,test,-13,-0.00
5750,42,11.37,30.58,2.43,notvalid:notvalid,0.00,0.00,0.00,0,rising,test,-13,-0.00
5870,43,11.44,30.58,2.43,notvalid:notvalid,0.00,0.00,0.00,0,rising,test,-13,-0.00
5991,44,11.49,30.59,2.44,notvalid:notvalid,0.00,0.00,0.00,0,rising,test,-13,-0.00
6112,45,11.44,30.59,2.45,notvalid:notvalid,0.00,0.00,0.00,0,rising,test,-13,-0.00
6233,46,11.41,30.59,2.44,notvalid:notvalid,0.00,0.00,0.00,0,rising,test,-13,-0.00
6354,47,11.40,30.59,2.39,notvalid:notvalid,0.00,0.00,0.00,0,rising,test,-13,-0.01
6475,48,11.38,30.59,2.38,notvalid:notvalid,0.00,0.00,0.00,0,rising,test,-13,-0.01
6596,49,11.36,30.59,2.38,notvalid:notvalid,0.00,0.00,0.00,0,rising,test,-13,-0.01
6757,50,11.35,30.59,2.38,notvalid:notvalid,0.00,0.00,0.00,0,rising,test,-13,-0.01
6877,51,11.34,30.59,2.38,notvalid:notvalid,0.00,0.00,0.00,0,rising,test,-13,-0.00
6998,52,11.41,30.59,2.38,notvalid:notvalid,0.00,0.00,0.00,0,rising,test,-13,-0.00
7119,53,11.38,30.60,2.39,notvalid:notvalid,0.00,0.00,0.00,0,rising,test,-13,-0.00
7240,54,11.35,30.60,2.40,notvalid:notvalid,0.00,0.00,0.00,0,rising,PING,-13,-0.00
7361,55,11.32,30.60,2.41,notvalid:notvalid,0.00,0.00,0.00,0,rising,PING,-13,-0.01
7482,56,11.30,30.60,2.41,notvalid:notvalid,0.00,0.00,0.00,0,rising,PING,-13,-0.01
7603,57,11.27,30.60,2.47,notvalid:notvalid,0.00,0.00,0.00,0,rising,PING,-13,-0.01
7724,58,11.26,30.60,2.47,notvalid:notvalid,0.00,0.00,0.00,0,rising,PING,-13,-0.01
7852,59,11.24,30.60,2.41,notvalid:18:10:45,0.00,0.00,0.00,0,rising,PING,-13,-0.01
7972,60,11.30,30.59,2.39,notvalid:18:10:45,0.00,0.00,0.00,0,rising,PING,-13,-0.01
8093,61,11.35,30.60,2.39,notvalid:18:10:45,0.00,0.00,0.00,0,rising,PING,-13,-0.01
8214,62,11.31,30.61,2.39,notvalid:18:10:45,0.00,0.00,0.00,0,rising,PING,-13,-0.01
8335,63,11.28,30.60,2.35,notvalid:18:10:45,0.00,0.00,0.00,0,rising,PING,-13,-0.01
8456,64,11.27,30.60,2.31,notvalid:18:10:45,0.00,0.00,0.00,0,rising,PING,-13,-0.01
8577,65,11.26,30.60,2.29,notvalid:18:10:45,0.00,0.00,0.00,0,rising,PING,-13,-0.01
8698,66,11.27,30.60,2.26,notvalid:18:10:45,0.00,0.00,0.00,0,rising,PING,-13,-0.01
8866,67,11.27,30.60,2.27,notvalid:18:10:46,0.00,0.00,0.00,0,rising,PING,-13,-0.01
8987,68,11.27,30.60,2.26,notvalid:18:10:46,0.00,0.00,0.00,0,rising,PING,-13,-0.00
9108,69,11.34,30.60,2.31,notvalid:18:10:46,0.00,0.00,0.00,0,rising,PING,-13,-0.00
9229,70,11.31,30.60,2.33,notvalid:18:10:46,0.00,0.00,0.00,0,rising,PING,-13,-0.00
9350,71,11.29,30.60,2.32,notvalid:18:10:46,0.00,0.00,0.00,0,rising,PING,-13,-0.00
9471,72,11.29,30.60,2.37,notvalid:18:10:46,0.00,0.00,0.00,0,rising,PING,-13,-0.01
9592,73,11.28,30.60,2.42,notvalid:18:10:46,0.00,0.00,0.00,0,rising,PING,-13,-0.01
9713,74,11.27,30.60,2.46,notvalid:18:10:46,0.00,0.00,0.00,0,rising,PING,-13,-0.01
9834,75,11.27,30.60,2.47,notvalid:18:10:46,0.00,0.00,0.00,0,rising,PING,-13,-0.01
9962,76,11.28,30.60,2.50,notvalid:18:10:47,0.00,0.00,0.00,0,rising,PING,-13,-0.01
10082,77,11.34,30.60,2.47,notvalid:18:10:47,0.00,0.00,0.00,0,rising,PING,-13,0.00
10203,78,11.40,30.61,2.47,notvalid:18:10:47,0.00,0.00,0.00,0,rising,PING,-13,0.00
10324,79,11.37,30.61,2.41,notvalid:18:10:47,0.00,0.00,0.00,0,rising,PING,-13,0.00
10445,80,11.35,30.61,2.37,notvalid:18:10:47,0.00,0.00,0.00,0,rising,PING,-13,0.00
10566,81,11.34,30.61,2.38,notvalid:18:10:47,0.00,0.00,0.00,0,rising,PING,-13,0.00
10687,82,11.33,30.60,2.32,notvalid:18:10:47,0.00,0.00,0.00,0,rising,PING,-13,0.00
10808,83,11.31,30.60,2.31,notvalid:18:10:47,0.00,0.00,0.00,0,rising,PING,-13,0.00
10977,84,11.29,30.60,2.29,notvalid:18:10:48,0.00,0.00,0.00,0,rising,PING,-13,0.00
11097,85,11.27,30.60,2.29,notvalid:18:10:48,0.00,0.00,0.00,0,rising,PING,-13,0.00
11218,86,11.31,30.60,2.28,notvalid:18:10:48,0.00,0.00,0.00,0,rising,PING,-13,0.00
11339,87,11.28,30.60,2.28,notvalid:18:10:48,0.00,0.00,0.00,0,rising,PING,-13,0.00
11460,88,11.25,30.60,2.27,notvalid:18:10:48,0.00,0.00,0.00,0,rising,PING,-13,0.00
11581,89,11.23,30.60,2.33,notvalid:18:10:48,0.00,0.00,0.00,0,rising,PING,-13,-0.01
11702,90,11.22,30.60,2.37,notvalid:18:10:48,0.00,0.00,0.00,0,rising,PING,-13,-0.01
11823,91,11.19,30.60,2.38,notvalid:18:10:48,0.00,0.00,0.00,0,rising,PING,-13,-0.01
